Numero	mot_make 	mot_address 	mot_all 	mot_3d 	mot_our 	mot_over 	mot_remove 	mot_internet 	mot_order 	mot_mail 	mot_receive 	mot_will 	mot_people 	mot_report 	mot_addresses 	mot_free 	mot_business 	mot_email 	mot_you 	mot_credit 	mot_your 	mot_font 	mot_000 	mot_money 	mot_hp 	mot_hpl 	mot_george 	mot_650 	mot_lab 	mot_labs 	mot_telnet 	mot_857 	mot_data 	mot_415 	mot_85 	mot_technology 	mot_1999 	mot_parts 	mot_pm 	mot_direct 	mot_cs 	mot_meeting 	mot_original 	mot_project 	mot_re 	mot_edu 	mot_table 	mot_conference 	char_freq_; 	char_freq_( 	char_freq_[ 	char_freq_! 	char_freq_$ 	capital_run_length_averag	capital_run_length_longes	capital_run_length_total 	Spam
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	discrete
																																																									
1.0	0.0	0.64	0.64	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.32	0.0	1.3	1.9	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	3.8	61.0	280.0	Spam
2.0	0.21	0.28	0.5	0.0	0.14	0.28	0.21	0.07	0.0	0.94	0.21	0.79	0.65	0.21	0.14	0.14	0.07	0.28	3.5	0.0	1.6	0.0	0.43	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.37	0.18	5.1	100.0	1000.0	Spam
3.0	0.06	0.0	0.71	0.0	1.2	0.19	0.19	0.12	0.64	0.25	0.38	0.45	0.12	0.0	1.8	0.06	0.06	1.0	1.4	0.32	0.51	0.0	1.2	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.12	0.0	0.06	0.06	0.0	0.0	0.01	0.14	0.0	0.28	0.18	9.8	490.0	2300.0	Spam
4.0	0.0	0.0	0.0	0.0	0.63	0.0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0.0	0.0	0.31	0.0	0.0	3.2	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14	0.0	3.5	40.0	190.0	Spam
5.0	0.0	0.0	0.0	0.0	0.63	0.0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0.0	0.0	0.31	0.0	0.0	3.2	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14	0.0	3.5	40.0	190.0	Spam
6.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	3.0	15.0	54.0	Spam
7.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.64	0.96	1.3	0.0	0.0	0.0	0.96	0.0	0.32	3.8	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.16	0.05	1.7	4.0	110.0	Spam
8.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	2.5	11.0	49.0	Spam
9.0	0.15	0.0	0.46	0.0	0.61	0.0	0.3	0.0	0.92	0.76	0.76	0.92	0.0	0.0	0.0	0.0	0.0	0.15	1.2	3.5	2.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.18	0.2	9.7	450.0	1300.0	Spam
10.0	0.06	0.12	0.77	0.0	0.19	0.32	0.38	0.0	0.06	0.0	0.0	0.64	0.25	0.0	0.12	0.0	0.0	0.12	1.7	0.06	0.71	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.24	0.08	1.7	43.0	750.0	Spam
11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	1.9	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.96	3.8	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	1.3	6.0	21.0	Spam
12.0	0.0	0.0	0.25	0.0	0.38	0.25	0.25	0.0	0.0	0.0	0.12	0.12	0.12	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.04	0.0	0.66	0.0	1.2	11.0	180.0	Spam
13.0	0.0	0.69	0.34	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.34	0.0	1.4	2.1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.79	0.0	3.7	61.0	260.0	Spam
14.0	0.0	0.0	0.0	0.0	0.9	0.0	0.9	0.0	0.0	0.9	0.9	0.0	0.9	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	7.0	25.0	Spam
15.0	0.0	0.0	1.4	0.0	0.71	0.35	0.0	0.35	0.0	0.71	0.0	0.35	0.0	0.0	0.0	5.3	0.0	0.0	3.2	0.0	2.8	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.36	0.0	2.0	24.0	210.0	Spam
16.0	0.0	0.42	0.42	0.0	1.3	0.0	0.42	0.0	0.0	1.3	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	1.7	0.42	1.3	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.57	0.06	5.7	55.0	250.0	Spam
17.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	4.7	31.0	110.0	Spam
18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.37	35.0	95.0	460.0	Spam
19.0	0.0	0.0	0.55	0.0	1.1	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.18	0.0	0.37	0.37	3.2	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.46	0.0	1.3	4.0	70.0	Spam
20.0	0.0	0.63	0.0	0.0	1.6	0.31	0.0	0.0	0.31	0.0	0.0	0.63	0.0	0.0	1.3	0.63	0.31	3.2	2.2	0.0	1.9	0.0	0.31	0.63	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.05	0.5	3.5	91.0	190.0	Spam
21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.73	0.0	3.8	9.0	23.0	Spam
22.0	0.05	0.07	0.1	0.0	0.76	0.05	0.15	0.02	0.55	0.0	0.1	0.47	0.02	0.0	0.0	0.0	0.02	0.13	2.1	0.1	1.6	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.1	0.02	0.25	0.05	2.6	66.0	2300.0	Spam
23.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.4	0.0	0.81	0.0	4.9	12.0	34.0	Spam
24.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	1.2	0.0	1.2	1.2	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.67	0.0	1.1	5.0	69.0	Spam
25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.2	0.0	0.39	0.2	5.5	22.0	82.0	Spam
26.0	0.05	0.07	0.1	0.0	0.76	0.05	0.15	0.02	0.55	0.0	0.1	0.47	0.02	0.0	0.0	0.0	0.02	0.13	2.1	0.1	1.6	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.1	0.02	0.25	0.05	2.6	66.0	2300.0	Spam
27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.2	0.0	0.39	0.2	5.5	22.0	82.0	Spam
28.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	2.6	12.0	47.0	Spam
29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.35	0.0	4.0	11.0	36.0	Spam
30.0	0.0	0.0	0.0	0.0	0.65	0.0	0.65	0.0	0.0	0.0	0.65	0.65	0.0	0.0	0.0	0.65	1.3	0.0	1.3	5.2	1.3	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.09	0.0	2.7	66.0	130.0	Spam
31.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	1.2	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	2.0	10.0	59.0	Spam
32.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	2.1	0.0	3.9	11.0	43.0	Spam
33.0	0.0	0.0	0.0	0.0	1.9	0.27	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.27	0.0	0.0	3.5	0.0	2.7	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.09	1.4	11.0	89.0	Spam
34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	1.7	5.0	17.0	Spam
35.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.68	0.0	0.0	0.0	0.68	0.0	0.0	0.68	0.0	0.0	1.4	0.0	0.0	0.0	0.68	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	3.8	30.0	260.0	Spam
36.0	0.0	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	1.5	0.0	2.8	6.0	25.0	Spam
