Numero	mot_make 	mot_address 	mot_all 	mot_3d 	mot_our 	mot_over 	mot_remove 	mot_internet 	mot_order 	mot_mail 	mot_receive 	mot_will 	mot_people 	mot_report 	mot_addresses 	mot_free 	mot_business 	mot_email 	mot_you 	mot_credit 	mot_your 	mot_font 	mot_000 	mot_money 	mot_hp 	mot_hpl 	mot_george 	mot_650 	mot_lab 	mot_labs 	mot_telnet 	mot_857 	mot_data 	mot_415 	mot_85 	mot_technology 	mot_1999 	mot_parts 	mot_pm 	mot_direct 	mot_cs 	mot_meeting 	mot_original 	mot_project 	mot_re 	mot_edu 	mot_table 	mot_conference 	"char_freq_; "	char_freq_( 	char_freq_[ 	char_freq_! 	char_freq_$ 	char_freq_# 	capital_run_length_averag	capital_run_length_longes	capital_run_length_total 	Spam
1	0	0.64	0.64	0	0.32	0	0	0	0	0	0	0.64	0	0	0	0.32	0	1.3	1.9	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0	0	3.8	61	2.8E2	Spam
2	0.21	0.28	0.5	0	0.14	0.28	0.21	0.07	0	0.94	0.21	0.79	0.65	0.21	0.14	0.14	0.07	0.28	3.5	0	1.6	0	0.43	0.43	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0.37	0.18	0.05	5.1	1E2	1E3	Spam
3	0.06	0	0.71	0	1.2	0.19	0.19	0.12	0.64	0.25	0.38	0.45	0.12	0	1.8	0.06	0.06	1	1.4	0.32	0.51	0	1.2	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0.12	0	0.06	0.06	0	0	0.01	0.14	0	0.28	0.18	0.01	9.8	4.9E2	2.3E3	Spam
4	0	0	0	0	0.63	0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0	0	0.31	0	0	3.2	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.14	0	0	3.5	40	1.9E2	Spam
5	0	0	0	0	0.63	0	0.31	0.63	0.31	0.63	0.31	0.31	0.31	0	0	0.31	0	0	3.2	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0.14	0	0	3.5	40	1.9E2	Spam
6	0	0	0	0	1.9	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0	0	0	0	3	15	54	Spam
7	0	0	0	0	1.9	0	0	0	0	0.64	0.96	1.3	0	0	0	0.96	0	0.32	3.8	0	0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.16	0.05	0	1.7	4	1.1E2	Spam
8	0	0	0	0	1.9	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0	0	0	2.5	11	49	Spam
9	0.15	0	0.46	0	0.61	0	0.3	0	0.92	0.76	0.76	0.92	0	0	0	0	0	0.15	1.2	3.5	2	0	0	0.15	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.27	0	0.18	0.2	0.02	9.7	4.5E2	1.3E3	Spam
10	0.06	0.12	0.77	0	0.19	0.32	0.38	0	0.06	0	0	0.64	0.25	0	0.12	0	0	0.12	1.7	0.06	0.71	0	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0.04	0.03	0	0.24	0.08	0	1.7	43	7.5E2	Spam
11	0	0	0	0	0	0	0.96	0	0	1.9	0.96	0	0	0	0	0	0	0.96	3.8	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	1.3	6	21	Spam
12	0	0	0.25	0	0.38	0.25	0.25	0	0	0	0.12	0.12	0.12	0	0	0	0	0	1.2	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.04	0	0.66	0	0	1.2	11	1.8E2	Spam
13	0	0.69	0.34	0	0.34	0	0	0	0	0	0	0.69	0	0	0	0.34	0	1.4	2.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0.79	0	0	3.7	61	2.6E2	Spam
14	0	0	0	0	0.9	0	0.9	0	0	0.9	0.9	0	0.9	0	0	0	0	0	2.7	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	7	25	Spam
15	0	0	1.4	0	0.71	0.35	0	0.35	0	0.71	0	0.35	0	0	0	5.3	0	0	3.2	0	2.8	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0.36	0	0	2	24	2.1E2	Spam
16	0	0.42	0.42	0	1.3	0	0.42	0	0	1.3	0	0	0	0	0	1.3	0	0	1.7	0.42	1.3	0	0	0.42	0	0	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0.42	0	0	0	0	0	0	0	0	0	0.06	0	0.57	0.06	0	5.7	55	2.5E2	Spam
17	0	0	0	0	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	2.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43	0	0	4.7	31	1.1E2	Spam
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1	0	0.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.37	0	35	95	4.6E2	Spam
19	0	0	0.55	0	1.1	0	0.18	0	0	0	0	0	0.92	0	0.18	0	0.37	0.37	3.2	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0.46	0	0	1.3	4	70	Spam
20	0	0.63	0	0	1.6	0.31	0	0	0.31	0	0	0.63	0	0	1.3	0.63	0.31	3.2	2.2	0	1.9	0	0.31	0.63	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0.28	0	0.05	0.5	0	3.5	91	1.9E2	Spam
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0	0.73	0	0	3.8	9	23	Spam
22	0.05	0.07	0.1	0	0.76	0.05	0.15	0.02	0.55	0	0.1	0.47	0.02	0	0	0	0.02	0.13	2.1	0.1	1.6	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.1	0	0	0	0	0	0	0	0	0	0	0	0.04	0.1	0.02	0.25	0.05	0.06	2.6	66	2.3E3	Spam
23	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.4	0	0.81	0	0	4.9	12	34	Spam
24	0	0	0	0	1.2	0	0	0	0	0	0	0.58	0	0	0	1.2	0	1.2	1.2	0	1.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0.67	0	0	1.1	5	69	Spam
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0.2	0	0.39	0.2	0	5.5	22	82	Spam
26	0.05	0.07	0.1	0	0.76	0.05	0.15	0.02	0.55	0	0.1	0.47	0.02	0	0	0	0.02	0.13	2.1	0.1	1.6	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.1	0	0	0	0	0	0	0	0	0	0	0	0.04	0.1	0.02	0.25	0.05	0.06	2.6	66	2.3E3	Spam
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0.2	0	0.39	0.2	0	5.5	22	82	Spam
28	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0	0	2.6	12	47	Spam
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0.35	0	0	4	11	36	Spam
30	0	0	0	0	0.65	0	0.65	0	0	0	0.65	0.65	0	0	0	0.65	1.3	0	1.3	5.2	1.3	0	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0.09	0	0	2.7	66	1.3E2	Spam
31	1.2	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	1.2	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0.89	0	0	2	10	59	Spam
32	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	2.1	0	0	3.9	11	43	Spam
33	0	0	0	0	1.9	0.27	0	0	0	0	0	0.81	0	0	0	0.27	0	0	3.5	0	2.7	0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.09	0	1.4	11	89	Spam
34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	4.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	1.7	5	17	Spam
35	0	0.68	0	0	0	0	0	0	0	0.68	1.4	0	0	0	0	0	0	0	2	0	0.68	0	0	0	0.68	0	0	0.68	0	0	1.4	0	0	0	0.68	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0	0	0	3.8	30	2.6E2	Spam
36	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	1.5	0	0	2.8	6	25	Spam
37	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0.44	0	0.87	0	0	4.1	12	29	Spam
38	0	0	0.48	0	1.5	0	0.48	0	0	0	0	0.97	0	0	0	0.48	0.97	0	2.4	0	2.4	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0.08	0	0.49	0.24	0	5.4	78	2.4E2	Spam
39	0	0.48	0.48	0	0.48	0	0	0	0	0	0	0.97	0	0	0	0.48	0	0.97	1.5	0	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0.96	0	0	3.1	61	1.9E2	Spam
40	0	0.41	1.7	0	0.41	0	0	0	0	0	0	0.41	0	0	0	0.41	0	0.83	2.1	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0.07	0	0.75	0	0	3.8	1.2E2	2.9E2	Spam
